category,feature_id,feature,LT_linktree,BC_beacons,BL_biolink,LB_lnkbio,SS_stanstore,CR_carrd,LL_later,TP_taplink,MS_milkshake,CS_campsite,TD_tadaify_planned
A Onboarding,A1,Email signup,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
A Onboarding,A2,Google OAuth,Y,Y,Y,?,Y,Y,Y,Y,Y,Y,
A Onboarding,A3,Apple OAuth,Y,Y,N,N,Y,N,Y,N,Y,N,
A Onboarding,A4,Social import (IG/TikTok pulls bio + avatar),P,Y,N,N,Y,N,Y,P,P,N,
A Onboarding,A5,Social content auto-mirror,Y,P,N,N,N,N,Y,N,N,N,
A Onboarding,A6,Auto-username suggestion,Y,Y,?,?,Y,Y,Y,Y,Y,?,
A Onboarding,A7,Live slug availability,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
A Onboarding,A8,Goal-selection onboarding,Y,Y,N,N,Y,N,P,Y,N,N,
A Onboarding,A9,Template picker in onboarding,Y,Y,Y,N,P,P,Y,Y,Y,Y,
A Onboarding,A10,One-click AI page generator from prompt,P,Y,Y,N,N,N,N,Y,N,N,
A Onboarding,A11,Steps signup to published,11,~6,~4,~5,~7,~8,~8,~6,~5,~6,
A Onboarding,A12,Deferred signup (edit first),N,N,N,N,N,Y,N,N,N,N,
B Editor,B1,Drag-drop reorder,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
B Editor,B2,Block types count,~40,14+,~12,~15,~20,~15,~15,20+,~10,~20,
B Editor,B3,Video embed block,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
B Editor,B4,Product block (native cart),$Pro,$StorePro,N,N,Y,P,Y,$Business,N,N,
B Editor,B5,Booking / calendar block,$,Y,N,N,Y,P,N,$Business,N,P,
B Editor,B6,Form / email signup block,$Starter,Y,Y,P,Y,$Pro,Y,$,P,Y,
B Editor,B7,RSS / newsletter feed,Y,Y,N,N,N,P,N,N,N,P,
B Editor,B8,Substack / Beehiiv block,P,P,N,N,N,P,N,N,N,N,
B Editor,B9,Shopify product block,$Premium,Y,N,N,Y,P,Y,N,N,N,
